1.16456101;1.074979394;1.16456101;1.270430193;1.397473212;1.552748014;1.746841516;1.996390304;1.746841516;1.644086132;1.552748014;1.471024434;1.397473212;1.552748014;1.746841516;1.996390304;1.863297617;1.746841516;1.552748014;1.471024434;1.397473212;1.330926869;1.270430193;1.215194098
Generationen: 2500;Crossover: ox2;C-Rate: 1.0;Mutation: Exchange;M-Rate: 0.5;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;GPS Frequenz: 8;;;;;;;;;;;;;
Iteration;total duration;relative totalduration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;time;;;;;;;;;;;;;;;
3;28005;28005;30507;937;32;33;10;08:00:01;;;;;;;;;;;;;;;
9;27274;27274;29394;1149;27;28;11;08:00:01;;;;;;;;;;;;;;;
12;25953;25953;28914;1023;33;28;8;08:00:01;;;;;;;;;;;;;;;
13;22967;22967;28467;1544;35;28;13;08:00:01;;;;;;;;;;;;;;;
19;22927;22927;26660;1531;25;26;16;08:00:01;;;;;;;;;;;;;;;
30;22291;22291;23980;801;17;19;8;08:00:01;;;;;;;;;;;;;;;
37;21865;21865;23185;658;26;19;5;08:00:01;;;;;;;;;;;;;;;
39;21467;21467;23163;920;15;17;7;08:00:01;;;;;;;;;;;;;;;
42;21370;21370;22570;544;23;16;1;08:00:01;;;;;;;;;;;;;;;
43;21367;21367;22388;535;21;17;8;08:00:01;;;;;;;;;;;;;;;
47;20863;20863;21878;524;16;17;8;08:00:01;;;;;;;;;;;;;;;
50;20783;20783;21610;440;17;17;8;08:00:01;;;;;;;;;;;;;;;
56;20538;20538;21148;249;17;14;4;08:00:01;;;;;;;;;;;;;;;
57;20267;20267;21085;359;12;15;6;08:00:01;;;;;;;;;;;;;;;
59;20095;20095;20836;338;8;11;5;08:00:01;;;;;;;;;;;;;;;
61;19776;19776;20598;361;14;9;8;08:00:01;;;;;;;;;;;;;;;
65;19641;19641;20417;605;8;9;5;08:00:01;;;;;;;;;;;;;;;
66;19515;19515;20276;374;9;9;3;08:00:01;;;;;;;;;;;;;;;
70;18821;18821;19930;461;8;11;9;08:00:01;;;;;;;;;;;;;;;
79;18756;18756;19412;377;6;7;5;08:00:01;;;;;;;;;;;;;;;
123;18638;18638;18906;104;6;6;7;08:00:01;;;;;;;;;;;;;;;
2499;18638;18638;18812;111;3;4;6;08:00:12;;;;;;;;;;;;;;;
Intersection-1505107457;18540;4322;18730;118;3;4;4;08:00:03;;;;;;;;;;;;;;;
GPS-G0;18535;4323;18721;111;3;4;4;08:00:08;;;;;;;;;;;;;;;
GPS-G1;18528;4325;18716;115;3;4;4;08:00:16;;;;;;;;;;;;;;;
Intersection-1505107292;18529;4332;18718;116;3;4;4;08:00:24;;;;;;;;;;;;;;;
GPS-G2;18529;4334;18720;119;3;4;4;08:00:24;;;;;;;;;;;;;;;
0.241063579;0.222520227;0.241063579;0.26297845;0.289276295;0.321418105;0.361595368;0.41325185;0.361595368;0.340325053;0.321418105;0.304501363;0.289276295;0.321418105;0.361595368;0.41325185;0.385701726;0.361595368;0.321418105;0.304501363;0.289276295;0.275501233;0.26297845;0.251544604
Generationen: 2500;Crossover: ox2;C-Rate: 1.0;Mutation: Exchange;M-Rate: 0.5;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;GPS Frequenz: 8;;;;;;;;;;;;;
Iteration;total duration;relative totalduration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;time;;;;;;;;;;;;;;;
4;29210;29210;30634;967;35;35;15;08:00:00;;;;;;;;;;;;;;;
5;27808;27808;30082;878;34;34;12;08:00:00;;;;;;;;;;;;;;;
10;27414;27414;28635;659;29;32;11;08:00:01;;;;;;;;;;;;;;;
13;27233;27233;28494;1130;32;30;9;08:00:01;;;;;;;;;;;;;;;
16;26404;26404;28064;801;31;28;9;08:00:01;;;;;;;;;;;;;;;
18;25857;25857;27609;902;19;25;12;08:00:01;;;;;;;;;;;;;;;
20;25222;25222;27574;1283;31;25;8;08:00:01;;;;;;;;;;;;;;;
37;24140;24140;26393;1010;31;28;5;08:00:01;;;;;;;;;;;;;;;
45;23103;23103;24810;853;19;21;1;08:00:01;;;;;;;;;;;;;;;
48;23011;23011;24354;678;14;17;4;08:00:01;;;;;;;;;;;;;;;
51;22586;22586;24200;809;17;17;4;08:00:01;;;;;;;;;;;;;;;
55;22581;22581;23631;592;11;13;8;08:00:01;;;;;;;;;;;;;;;
59;22340;22340;23246;523;11;13;2;08:00:01;;;;;;;;;;;;;;;
70;21759;21759;22721;341;10;8;5;08:00:01;;;;;;;;;;;;;;;
77;21103;21103;22894;1986;11;9;4;08:00:01;;;;;;;;;;;;;;;
89;20727;20727;22159;892;14;13;9;08:00:01;;;;;;;;;;;;;;;
99;20687;20687;21438;589;11;13;6;08:00:01;;;;;;;;;;;;;;;
103;19274;19274;21091;532;29;13;0;08:00:01;;;;;;;;;;;;;;;
115;19159;19159;20062;501;20;20;6;08:00:01;;;;;;;;;;;;;;;
117;18915;18915;19808;495;14;18;9;08:00:01;;;;;;;;;;;;;;;
121;18252;18252;19373;454;11;15;5;08:00:01;;;;;;;;;;;;;;;
144;18199;18199;18686;529;9;8;4;08:00:01;;;;;;;;;;;;;;;
147;18116;18116;18475;232;6;8;6;08:00:01;;;;;;;;;;;;;;;
193;18064;18064;18281;355;8;7;5;08:00:02;;;;;;;;;;;;;;;
198;18061;18061;18177;66;7;7;6;08:00:02;;;;;;;;;;;;;;;
203;18058;18058;18141;71;8;7;4;08:00:02;;;;;;;;;;;;;;;
215;18051;18051;18169;274;6;7;5;08:00:02;;;;;;;;;;;;;;;
448;17815;17815;18092;128;9;6;6;08:00:03;;;;;;;;;;;;;;;
