0.701909057;0.647916053;0.701909057;0.765718971;0.842290869;0.935878743;1.052863586;1.203272669;1.052863586;0.990930434;0.935878743;0.886621967;0.842290869;0.935878743;1.052863586;1.203272669;1.123054492;1.052863586;0.935878743;0.886621967;0.842290869;0.80218178;0.765718971;0.732426842
Generationen: 2500;Crossover: ox2;C-Rate: 1.0;Mutation: Exchange;M-Rate: 0.5;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.5;Selection-Pressure: 1.2;GPS Frequenz: 8;;;;;;;;;;;;;
Iteration;total duration;relative totalduration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;time;;;;;;;;;;;;;;;
2499;19815;19815;19858;36;4;4;08:00:02;|ID:0 49.179775 8.752588|ID:38 49.178439 8.801008|ID:10 49.175942 8.792577|ID:7 49.124447 8.716669|ID:19 49.121084 8.723739|ID:21 49.120982 8.724765|ID:12 49.142084 8.85242|ID:24 49.175442 8.749427|ID:36 49.183469 8.775872|ID:8 49.145212 8.688068|ID:27 49.118803 8.76645|ID:22 49.088492 8.769808|ID:32 49.088201 8.788462|ID:11 49.147033 8.806347|ID:26 49.148713 8.807257|ID:35 49.151327 8.811024|ID:14 49.17413 8.836061|ID:13 49.187562 8.817072|ID:1 49.154036 8.718574|ID:37 49.179303 8.810762|ID:30 49.105682 8.748116|ID:31 49.107595 8.782017|ID:25 49.142551 8.769687|ID:4 49.138372 8.770976|ID:6 49.107418 8.712167|ID:23 49.099789 8.738246|ID:29 49.140226 8.686995|ID:9 49.155876 8.72469|ID:18 49.148566 8.693831|ID:16 49.138169 8.661563|ID:17 49.14749 8.655874|ID:5 49.104066 8.745913|ID:39 49.108844 8.715623|ID:15 49.177741 8.796049|ID:3 49.100604 8.854045|ID:33 49.099043 8.858203|ID:34 49.110088 8.858825|ID:2 49.106847 8.814816|ID:20 49.110618 8.815909|ID:28 49.176203 8.785493|;;;;;;;;;;;;;;;
Start;19815;19858;36;4;4;-;08:00:00;;;;;;;;;;;;;;;;
Intersection-1505107457;19719;19721;19771;36;4;4;4;08:00:01;801;;;;;;;;;;;;;;
GPS-G0;19719;19728;19771;36;3;4;4;08:00:08;808;;;;;;;;;;;;;;
Intersection-1505107292;19719;19734;19767;32;4;4;4;08:00:14;8014;;;;;;;;;;;;;;
GPS-G1;19719;19736;19767;33;4;4;4;08:00:16;8016;;;;;;;;;;;;;;
GPS-G2;19719;19744;19767;32;3;4;4;08:00:24;8024;;;;;;;;;;;;;;
