"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","28837","---","32038","1469"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","28368","---","33329","1631"
"99","19776","---","20251","253"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","27264","---","31080","1585"
"99","21459","---","21604","91"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","26960","---","32016","1641"
"99","19357","---","19851","566"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","27482","---","32241","1926"
"99","19124","---","19645","707"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","28008","---","32169","1748"
"99","18199","---","18473","206"
"Iteration/Time","total duration","relative totalduration","avg. duration","average standard deviation"
"0","31974","---","38701","3050"
"99","23631","---","24244","464"
